Description;Price;Full_Url;Item_Id;Json_Url
Молоко Село Зеленое пастеризованное 3.2% 1.947л;;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/selo-zel-moloko-3-2-pet-2kg--306074;306074;http://www.perekrestok.ru/product/306074/preview-html
Молоко Молочная речка ультрапастеризованное 3.2% 973мл;;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/sarap-moloko-mol-rechka-ster-3-2-1l--308045;308045;http://www.perekrestok.ru/product/308045/preview-html
Молоко Утренней Дойки пастеризованное 3.4-6% 1л;;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/utren-doyka-moloko-past-3-4-6-1l--310106;310106;http://www.perekrestok.ru/product/310106/preview-html
Молоко 36 Копеек пастеризованное 3.2% 873мл;;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/36-kop-moloko-past-3-2-kart-873ml--306096;306096;http://www.perekrestok.ru/product/306096/preview-html
Молоко Moloko Group пастеризованное 4-5% 1кг;;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/moloko-moloko-grupp-4-5-1000g--868735;868735;http://www.perekrestok.ru/product/868735/preview-html
Молоко Николаевская ферма пастеризованное 2.5% 1л;;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/nik-fer-mol-past-2-5-1000ml--439202;439202;http://www.perekrestok.ru/product/439202/preview-html
Крем для рук Бархатные Ручки Магия тиаре 80мл;109,9;https://www.perekrestok.ru/catalog/krasota-gigiena-bytovaya-himiya/uhod-za-kojey/sredstva-dlya-ruk/barhatnye-ruchki-krem-magiya-tiare-80ml--373573;373573;http://www.perekrestok.ru/product/373573/preview-html
Нектар ФрутоНяня Тыква с мякотью 200мл;23,9;https://www.perekrestok.ru/catalog/tovary-dlya-mam-i-detey/detskoe-pitanie/detskie-soki-chay-voda/frutonyanya-nektar-tykven-s-myakotyu-0-2l--305744;305744;http://www.perekrestok.ru/product/305744/preview-html
Томаты;129,90  /кг;https://www.perekrestok.ru/catalog/ovoschi-frukty-griby/ovoschi/tomaty-1kg--303678;303678;http://www.perekrestok.ru/product/303678/preview-html
Колбаса Велком Салями Милано + Чоризо + Салями Фелино сыровяленая сухая 150г;159;https://www.perekrestok.ru/catalog/myaso-ptitsa-delikatesy/kolbasy-vetchina/nab-sv-milano-choriz-fel-150g-n--943399;943399;http://www.perekrestok.ru/product/943399/preview-html
Виски Jack Daniel’s Old No.7 Tennessee 40% 3л;6999;https://www.perekrestok.ru/catalog/alkogol/viski-burbon/viskidjek-den-ten-40na-kach3-0l--388160;388160;http://www.perekrestok.ru/product/388160/preview-html
Вино Anjou Rouge красное сухое 9-13% 0.75л;799;https://www.perekrestok.ru/catalog/alkogol/vino/vino-anjujozverde-k-s-0-75l--337891;337891;http://www.perekrestok.ru/product/337891/preview-html
Вино La Gerla Brunello di Montalcino красное сухое 14% 0.75л;4699;https://www.perekrestok.ru/catalog/alkogol/vino/vin-l-gerla-brunel-di-mont0-75--344507;344507;http://www.perekrestok.ru/product/344507/preview-html
Маслины ПРОСТО с косточкой 280г;45,9;https://www.perekrestok.ru/catalog/konservy-orehi-sousy/ovoschnye-konservy/prst-masliny-chernye-sk-280g--312398;312398;http://www.perekrestok.ru/product/312398/preview-html
Смесь Агуша 2 Кисломолочная последующая 3.4% 200мл;32,9;https://www.perekrestok.ru/catalog/tovary-dlya-mam-i-detey/detskoe-pitanie/detskie-molochnye-produkty/ag-2-smes-kislomol-posl-adapt-3-4204ml--306994;306994;http://www.perekrestok.ru/product/306994/preview-html
Набор пирожных Бисквит Эклеры 5шт 300г;329;https://www.perekrestok.ru/catalog/hleb-sladosti-sneki/torty-pirojnye/nab-piroj-ekler-300g--326049;326049;http://www.perekrestok.ru/product/326049/preview-html
